Source_Region,Target_Province,Cases (O),Cases per million (O),GDP per capita (O),GDP per capita (D),Pop density (O),Pop density (D),Age upper 65 (O),Age upper 65 (D),Temperature (O),Humidity (O),International travel,Imports
Japan,Anhui,0.32680402451239104,0.4087422084270445,0.5493181461818653,0.35888384300479775,0.5859665317401135,0.37659574468085105,1.0,0.626336183858899,0.8300908831103642,0.7501674778496594,0.6128316235720145,1.0
Malaysia,Anhui,0.04969760818943898,0.22701839148099423,0.19447401089117503,0.35888384300479775,0.4166149605282221,0.37659574468085105,0.1936912438815943,0.626336183858899,0.8300908831103642,0.7501674778496594,0.5955572682259712,1.0
New Zealand,Anhui,0.023364763047792194,0.698558815613975,0.6707981581553203,0.35888384300479775,0.20151535030351075,0.37659574468085105,0.5444409913759614,0.626336183858899,0.8300908831103642,0.7501674778496594,0.4344593551511853,1.0
United Kingdom,Anhui,0.23997265036034698,0.5510805054998054,0.6533702892104319,0.35888384300479775,0.5539184881648415,0.37659574468085105,0.6685572216610987,0.626336183858899,0.8300908831103642,0.7501674778496594,0.5274779084387641,1.0
South Korea,Yunnan,0.33423175607983885,1.0,0.5331698099170349,0.22685870899761496,0.6411953971888407,0.46382978723404256,0.4897443866055473,0.3326429716729022,0.6186840233580284,1.0,0.7184610908204542,18.0
USA,Yunnan,1.0,0.45827439098658695,0.8278612353336526,0.22685870899761496,0.28705165370378527,0.46382978723404256,0.547976070235413,0.3326429716729022,0.6186840233580284,1.0,0.5660258758322458,19.0
Australia,Yunnan,0.11281820133909944,0.6681393654073763,0.769957611499269,0.22685870899761496,0.0,0.46382978723404256,0.5515111490948644,0.3326429716729022,0.6186840233580284,1.0,0.6103400562879405,8.0
Japan,Yunnan,0.32680402451239104,0.4087422084270445,0.5493181461818653,0.22685870899761496,0.5859665317401135,0.46382978723404256,1.0,0.3326429716729022,0.6186840233580284,1.0,0.7167871387009921,7.0
Singapore,Yunnan,0.026266688821251473,0.7223874018287894,0.8553914806342062,0.22685870899761496,1.0,0.46382978723404256,0.45120814233548284,0.3326429716729022,0.6186840233580284,1.0,0.6779238820132656,6.0
Canada,Yunnan,0.045759069044933695,0.1844788222580294,0.715342897598073,0.22685870899761496,0.02403473083927957,0.46382978723404256,0.6090047393364929,0.3326429716729022,0.6186840233580284,1.0,0.489779417704071,4.0
Malaysia,Yunnan,0.04969760818943898,0.22701839148099423,0.19447401089117503,0.22685870899761496,0.4166149605282221,0.46382978723404256,0.1936912438815943,0.3326429716729022,0.6186840233580284,1.0,0.7455286908719478,6.0
New Zealand,Yunnan,0.023364763047792194,0.698558815613975,0.6707981581553203,0.22685870899761496,0.20151535030351075,0.46382978723404256,0.5444409913759614,0.3326429716729022,0.6186840233580284,1.0,0.5536702521544979,2.0
Germany,Yunnan,0.3716060939957856,0.6910165093546327,0.6720932483747688,0.22685870899761496,0.5352983245413203,0.46382978723404256,0.7826120736539508,0.3326429716729022,0.6186840233580284,1.0,0.5043809796352688,1.0
France,Yunnan,0.3770174547790903,0.9044083244430647,0.614856993720859,0.22685870899761496,0.448380101239992,0.46382978723404256,0.7152124932017715,0.3326429716729022,0.6186840233580284,1.0,0.527683166251025,4.0
Greece,Yunnan,0.053150246900937,0.7934407834550168,0.38212600943321906,0.22685870899761496,0.3979410580521036,0.46382978723404256,0.7415507730557067,0.3326429716729022,0.6186840233580284,1.0,0.25212168485659825,3.0
Russia,Yunnan,0.2253507500698808,0.241415466312915,0.27930243231340424,0.22685870899761496,0.11260396323511401,0.46382978723404256,0.5,0.3326429716729022,0.6186840233580284,1.0,0.5936614957109483,3.0
Thailand,Yunnan,0.04601442296727793,0.09949641090579463,0.006608078753947877,0.22685870899761496,0.46120999746818786,0.46382978723404256,0.3910341076839406,0.3326429716729022,0.6186840233580284,1.0,0.8113739591262524,2.0
Hong Kong,Yunnan,0.0,0.0,0.6759604402126984,0.22685870899761496,0.9844495303424121,0.46382978723404256,0.5825499184212571,0.3326429716729022,0.6186840233580284,1.0,0.7223436137540205,1.0
