,Dep Country Name,arr_prov,Total Est. Pax
2399,Nepal,Shandong,3139
545,Cambodia,Neimenggu,3131
2341,Myanmar,Neimenggu,3128
1230,Ghana,Shanghai,3127
1526,Iran Islamic Republic of,Zhejiang,3118
2334,Myanmar,Henan,3107
627,Chile,Beijing,3103
2893,Russia,Guangxi,3089
1184,Germany,Chongqing,3085
1473,Indonesia,Guizhou,3082
2911,Russia,Shanxi,3067
537,Cambodia,Heilongjiang,3065
3827,Vietnam,Shanxi,3030
2335,Myanmar,Hubei,3028
3687,United Arab Emirates,Anhui,3020
3173,South Africa,Sichuan,2999
691,Congo Democratic Republic of,Beijing,2979
1484,Indonesia,Neimenggu,2978
607,Canada,Yunnan,2968
1855,Laos,Shandong,2964
1805,Kyrgyzstan,Beijing,2960
2734,Philippines,Hainan,2958
3744,United Kingdom,Tianjin,2938
2120,Maldives,Zhejiang,2938
3177,South Africa,Zhejiang,2935
121,Australia,Gansu,2934
1182,Germany,Anhui,2931
3811,Vietnam,Hainan,2922
1482,Indonesia,Jilin,2896
3288,Sri Lanka,Zhejiang,2895
3248,Spain,Shaanxi,2881
2349,Myanmar,Tianjin,2878
2329,Myanmar,Guangxi,2859
1450,India,Jiangsu,2845
3295,Sudan,Beijing,2838
860,Denmark,Sichuan,2828
2456,New Zealand,Heilongjiang,2815
1605,Israel,Sichuan,2812
3887,Zimbabwe,Shanghai,2786
2534,Northern Mariana Islands,Beijing,2779
3089,Singapore,Ningxia,2766
2585,Oman,Beijing,2756
2606,Oman,Shanghai,2743
2787,Poland,Zhejiang,2735
680,Congo,Guangdong,2730
1046,Fiji,Shanghai,2724
3697,United Arab Emirates,Heilongjiang,2721
1907,Lebanon,Zhejiang,2718
1372,Hong Kong,Qinghai,2710
3714,United Arab Emirates,Xinjiang,2673
221,Bahrain,Guangdong,2669
892,Ecuador,Beijing,2657
3637,USA,Heilongjiang,2651
1836,Laos,Fujian,2635
307,Belarus,Shanghai,2630
704,Congo Democratic Republic of,Shanghai,2604
2452,New Zealand,Guangxi,2590
2514,Nigeria,Sichuan,2583
254,Bangladesh,Henan,2583
1680,Japan,Qinghai,2570
3151,South Africa,Fujian,2568
1493,Indonesia,Xinjiang,2561
2078,Malaysia,Neimenggu,2548
126,Australia,Hebei,2542
1554,Iraq,Zhejiang,2537
